Provider Approval Number,Service Approval Number,Legal Name,Trading Name,Address,Suburb,State,Postcode,Date Approval Granted,Conditions
PR-00001368,,Blackburn Pre-School Centre Inc.,,40 Blackburn Road,BLACKBURN,VIC,3130,29-12-2011,
PR-00001369,,Blacks Camp Preschool Centre Inc,,21 Worwong Ave,SOMERVILLE,VIC,3912,29-12-2011,
PR-00001370,,Blossom Park Kindergarten Inc,,59 Azalea Avenue,MILL PARK,VIC,3082,29-12-2011,
PR-00001372,,Boroondara Kindergarten Inc,,12 Cooke Court,RICHMOND NORTH,VIC,3121,29-12-2011,
PR-00001373,,Boroondara Preschool Inc,,PO BOX 1073G,GREYTHORN,VIC,3104,29-12-2011,
PR-00001374,,Botany Park Preschool Committee Inc,,53 Lyrebird Drive,CARRUM DOWNS,VIC,3201,29-12-2011,
PR-00001376,,Woodhouse Grove Kindergarten Assoc Inc,,112 Woodhouse Grove,BOX HILL NORTH,VIC,3129,29-12-2011,
PR-00001377,,Box Hill South Preschool Inc,,Rotary Court,BOX HILL SOUTH,VIC,3128,29-12-2011,
PR-00001380,,Brenbeal Children's Centre Inc,,8 Rayner Street,FOOTSCRAY,VIC,3011,29-12-2011,
PR-00001381,,Brentwood Kindergarten Inc,,36 Brentwood Avenue,PASCOE VALE SOUTH,VIC,3044,29-12-2011,
PR-00001382,,Brentwood Park Kindergarten Inc,,PO Box 147,CROYDON,VIC,3136,29-12-2011,
PR-00001383,,Brentwood Preschool Association Inc,,60 Viewmount Road,GLEN WAVERLEY,VIC,3150,29-12-2011,
PR-00001384,,Briar Hill Preschool Association Inc,,118 Karingal Drive,BRIAR HILL,VIC,3088,29-12-2011,
PR-00001385,,Brighton Grammar School,,90 Outer Crescent,BRIGHTON,VIC,3186,29-12-2011,
PR-00001386,,Brighton Recreational Centre Ltd,,93 Outer Crescent,BRIGHTON,VIC,3186,29-12-2011,
PR-00001387,,Brimbank City Council,,PO Box 70,SUNSHINE,VIC,3020,29-12-2011,
PR-00001393,,Brunswick Creche & Day Nursery Inc,,82 Glenlyon Road,BRUNSWICK,VIC,3056,12-04-2012,
PR-00001394,,Northwest Maria Montessori Preschool Inc,,PO Box 401,ESSENDON,VIC,3040,29-12-2011,
PR-00001396,,Bulleen Preschool Inc,,5 Derreck Avenue,BULLEEN,VIC,3105,29-12-2011,
PR-00001398,,Bundoora Preschool Assoc Inc,,"Bundoora Pre School, 20 Noorong Ave",BUNDOORA,VIC,3083,29-12-2011,
PR-00001400,,Alfred Road Kindergarten Inc,,48a Alfred Road,GLEN IRIS,VIC,3146,29-12-2011,
PR-00001401,,Caledonian Primary School,,PO Box 1172,BALLARAT MC,VIC,3354,29-12-2011,
PR-00001402,,Camberwell Baptist Church Kindergarten Inc,,1a Wills St,HAWTHORN EAST,VIC,3123,29-12-2011,
PR-00001403,,Camberwell Grammar School,,PO Box 151,BALWYN,VIC,3103,29-12-2011,
PR-00001404,,Campaspe Shire Council,,PO Box 35,ECHUCA,VIC,3564,29-12-2011,
PR-00001405,,Camperdown Preschool Association Inc,,PO Box 146,CAMPERDOWN,VIC,3260,29-12-2011,
PR-00001406,,Canterbury & District Preschool Inc,,26 Guildford Road,SURREY HILLS,VIC,3127,29-12-2011,
PR-00001407,,Cara Armstrong Kindergarten Inc,,169 Rathmines Road,HAWTHORN EAST,VIC,3123,29-12-2011,
PR-00001409,,Carey Baptist Grammar School Ltd,,349 Barkers Road,KEW,VIC,3101,29-12-2011,
PR-00001410,,Taraleigh Steiner Pre-school Inc,,90 Bignell Road,BENTLEIGH EAST,VIC,3165,29-12-2011,
PR-00001412,,Casey City Council,,PO Box 1000,NARRE WARREN,VIC,3805,29-12-2011,
PR-00001413,,Castlemaine Child Care Co-op Ltd,,15-17 Templeton Street,CASTLEMAINE,VIC,3450,29-12-2011,
PR-00001414,,Catjump Preschool Inc,,88 Polaris Drive,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001416,,Centenary Drive Kindergarten Inc,,68 Centenary Drive,MILL PARK,VIC,3082,29-12-2011,
PR-00001417,,Central Goldfields Shire Council,,PO Box 194,MARYBOROUGH,VIC,3465,29-12-2011,
PR-00001418,,Central Park Child Care Inc,,116 Burke Road,MALVERN EAST,VIC,3145,29-12-2011,
PR-00001420,,Chabad Institution of Australia Inc,,88 Hotham Street,ST KILDA EAST,VIC,3183,29-12-2011,
PR-00001421,,Chelsea Heights Kindergarten Inc,,29 Third Ave,CHELSEA HEIGHTS,VIC,3196,29-12-2011,
PR-00001422,,Cherry Crescent Preschool Inc,,Cherry Crescent,BRAYBROOK,VIC,3019,29-12-2011,
PR-00001423,,Bond Street Kindergarten Chilwell Inc,,25-35 Bond Street,NEWTOWN,VIC,3220,29-12-2011,
PR-00001424,,Chrissy's Kindergarten & Early Learning Centre Pty Ltd,,PO Box 299,MCCRAE,VIC,3938,29-12-2011,
PR-00001425,,Church Street Children's Centre Inc,,47 Church Street,WEST FOOTSCRAY,VIC,3012,29-12-2011,
PR-00001426,,Clarendon Children's Centre Co-op Ltd,,410 Clarendon St,SOUTH MELBOURNE,VIC,3205,29-12-2011,
PR-00001427,,Clarendon Street Child Care Centre Co-op Ltd,,43a Clarendon Street,CRANBOURNE,VIC,3977,29-12-2011,
PR-00001428,,Clever Little Monkeys Pty Ltd,,5 Killingholme Drive,MORNINGTON,VIC,3931,29-12-2011,
PR-00001429,,Clifton Child Care Co-operative Limited,,121 Rushall Crescent,FITZROY NORTH,VIC,3068,29-12-2011,
PR-00001430,,Clifton Street Childrens Centre Inc,,55 Clifton Street,NORTHCOTE,VIC,3070,29-12-2011,
PR-00001431,,Clyde Street Kindergarten Inc,,70 Clyde Street,THORNBURY,VIC,3071,29-12-2011,
PR-00001432,,Co-as-it Italian Assistance Assoc Inc,,189 Faraday Street,CARLTON,VIC,3053,29-12-2011,
PR-00001433,,Cockatoo Community Child Care Association Inc,,PO Box 615,COCKATOO,VIC,3781,29-12-2011,
PR-00001434,,Cockatoo Kindergarten Inc,,PO Box 657,COCKATOO,VIC,3781,29-12-2011,
PR-00001436,,Colac Otway Shire,,PO Box 283,COLAC,VIC,3250,29-12-2011,
PR-00001437,,Coldstream Preschool Inc,,P O Box 231,COLDSTREAM,VIC,3770,29-12-2011,
PR-00001438,,Coleraine & District Kindergarten Inc,,26 Henty Street,COLERAINE,VIC,3315,29-12-2011,
PR-00001439,,Columbia Park Pre-school Assocation Inc,,PO Box 3090,WHEELERS HILL,VIC,3150,29-12-2011,
PR-00001440,,Albury Wodonga Community College Limited,,PO Box 129,WODONGA,VIC,3689,29-12-2011,
PR-00001441,,Cooraminta Children's Centre Inc,,2 Skehan Boulevard,ALTONA MEADOWS,VIC,3028,29-12-2011,
PR-00001442,,Corangamite Shire Council,,PO Box 84,CAMPERDOWN,VIC,3260,29-12-2011,
PR-00001445,,Cranbourne Day Care and Kindergarten Centre Pty Ltd,,30 Cranbourne Dve,CRANBOURNE,VIC,3977,29-12-2011,
PR-00001446,,Croydon Central Kindergarten Inc,,PO Box 26,CROYDON,VIC,3136,29-12-2011,
PR-00001447,,CSIROCare Clayton Inc,,Private Bag 10,CLAYTON SOUTH,VIC,3169,29-12-2011,
PR-00001450,,Dame Nellie Melba Kindergarten Inc,,18 Goodwood Street,RICHMOND,VIC,3121,29-12-2011,
PR-00001452,,Dandenong North Preschool Inc,,70a McFees Rd,DANDENONG NORTH,VIC,3175,29-12-2011,
PR-00001453,,Dandenong Ranges Steiner School Inc,,11C Duffys Road,EMERALD,VIC,3782,29-12-2011,
PR-00001454,,Dandenong South Preschool Centre Inc,,21 Canberra Avenue,DANDENONG,VIC,3175,29-12-2011,
PR-00001455,,Darebin City Council,,PO Box 91,PRESTON,VIC,3072,29-12-2011,
PR-00001456,,Darren Reserve Kindergarten Inc,,3 Gillian Street,SPRINGVALE SOUTH,VIC,3172,29-12-2011,
PR-00001457,,Davis Street Kindergarten Assoc Inc,,40 Davis Street,KEW,VIC,3101,29-12-2011,
PR-00001458,,Dawson Street Child Care Co-op Ltd,,31 Dawson St,BRUNSWICK,VIC,3056,29-12-2011,
PR-00001459,,Daylesford Community Child Care Centre Inc,,81 west street,DAYLESFORD,VIC,3460,29-12-2011,
PR-00001460,,De Garis Preschool Centre Inc,,2 Christie Parade,MILDURA,VIC,3500,29-12-2011,
PR-00001462,,Deep Creek Child Care Centre Inc,,510 Blackburn Road,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001463,,Deep Creek Preschool Assoc Inc,,510 Blackburn Road,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001464,,Deepdene Preschool Centre Inc,,7 Terry St,DEEPDENE,VIC,3103,29-12-2011,
PR-00001465,,Deer Park Children's Community Centre Inc,,3 Hume Street,DEER PARK,VIC,3023,29-12-2011,
PR-00001466,,Deer Park West Kindergarten Inc,,1 Adeline Ct,DEER PARK,VIC,3023,29-12-2011,
PR-00001470,,Denzil Don Free Kindergarten Inc,,256 Union Street,BRUNSWICK WEST,VIC,3055,29-12-2011,
PR-00001472,,Diamond Creek East Pre-school Association Inc,,Coniston Street,DIAMOND CREEK,VIC,3089,29-12-2011,
PR-00001473,,Diamond Creek Memorial Preschool Association Inc,,11 Collins Street,DIAMOND CREEK,VIC,3089,29-12-2011,
PR-00001474,,Diamond Hills Preschool Inc,,PO Box 56,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00001475,,Dingley Kindergarten Centres Inc,,37 Marcus Road,DINGLEY VILLAGE,VIC,3172,29-12-2011,
PR-00001476,,Doncaster East Preschool Centre Inc,,4 Montgomery St,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001477,,Doncaster Kindergarten Association Inc,,Se 11a  687 Doncaster Rd,DONCASTER,VIC,3108,29-12-2011,
PR-00001479,,Donvale Preschool Assoc Inc,,7 Florence Avenue,DONVALE,VIC,3111,29-12-2011,
PR-00001480,,Doris Blackburn Preschool Centre Inc,,20 Woodlands Ave,PASCOE VALE SOUTH,VIC,3044,29-12-2011,
PR-00001481,,Dr Harry Little Preschool Centre Inc,,243a View Street,BENDIGO,VIC,3550,29-12-2011,
PR-00001482,,Dr Stanley Cochrane Memorial Kindergarten Inc,,257 Mitcham Road,MITCHAM,VIC,3132,29-12-2011,
PR-00001483,,Dromana Preschool Inc,,65 Pier Street,DROMANA,VIC,3936,29-12-2011,
PR-00001486,,Early Learning Child Care & Kindergarten Centre Pty Ltd,,PO Box 118,MELTON,VIC,3337,29-12-2011,
PR-00001487,,EAST BEAUMARIS KINDERGARTEN INCORPORATED,,60 Wells Road,BEAUMARIS EAST,VIC,3193,29-12-2011,
PR-00001488,,East Bentleigh Child Care Centre Association Inc,,70 East Boundary Rd,BENTLEIGH EAST,VIC,3165,29-12-2011,
PR-00001489,,East Brunswick Kindergarten Inc,,2 Noel Street,BRUNSWICK EAST,VIC,3057,29-12-2011,
PR-00001490,,East Melbourne Child Care Co-op Ltd,,Cnr Grey St & Simpson St,EAST MELBOURNE,VIC,3002,29-12-2011,
PR-00001491,,Eastmont Preschool Association Inc,,32 Frank St,VERMONT,VIC,3133,29-12-2011,
PR-00001492,,Echuca Central Kindergarten Inc,,PO Box 635,ECHUCA,VIC,3564,29-12-2011,
PR-00001494,,Eden Quality Services Pty Ltd,,18-32 Burdekin Rd,HIGHTON,VIC,3216,29-12-2011,
PR-00001495,,Edithvale Preschool Centre Assoc Inc,,29 Fraser Avenue,EDITHVALE,VIC,3196,29-12-2011,
PR-00001496,,Edward Street Preschool Inc,,1a Edward Street,BUNDOORA,VIC,3083,29-12-2011,
PR-00001497,,ELIMATTE PTY LTD,Little Grasshoppers Early Learning Centre,309 Main Street,MORNINGTON,VIC,3931,29-12-2011,
PR-00001498,,Ellie V Pullin Preschool Inc,,30 Tortice Drive,RINGWOOD NORTH,VIC,3134,29-12-2011,
PR-00001499,,Elonera Preschool Assoc Inc,,85 Davey Street,PARKDALE,VIC,3195,29-12-2011,
PR-00001500,,Elsa Macleod Kindergarten Inc,,PO Box 833,PORTLAND,VIC,3305,29-12-2011,
PR-00001501,,Eltham Child Care Co-op Ltd,,1 Panther Place,ELTHAM,VIC,3095,29-12-2011,
PR-00001502,,Eltham College,,PO Box 40,ELTHAM,VIC,3095,29-12-2011,
PR-00001503,,Eltham North Preschool Assoc Inc,,30 Glen Park Road,ELTHAM,VIC,3095,29-12-2011,
PR-00001504,,Eltham South Preschool Assoc Inc,,"Eltham South Kindergarten, 35 Fordhams Rd",ELTHAM,VIC,3095,29-12-2011,
PR-00001505,,Eltham Woods Child Care Co-op Ltd,,50 Frank Street,ELTHAM,VIC,3095,29-12-2011,
PR-00001506,,Eltham Woods Preschool Inc,,50 A Frank Street,ELTHAM,VIC,3095,29-12-2011,
PR-00001507,,Emerald Community House Inc,,356 - 358 Belgrave Gembrook Road,EMERALD,VIC,3782,29-12-2011,
PR-00001508,,Emma McLean Kindergarten & Daycare Inc,,71 Hope Street,SPOTSWOOD,VIC,3015,29-12-2011,
PR-00001509,,Epping North Kindergarten Inc,,PO Box 303,EPPING,VIC,3076,29-12-2011,
PR-00001511,,Estrella Preschool Inc,,32 Chamberlain Street,ASHBURTON,VIC,3147,29-12-2011,
PR-00001512,,Evesham Road Preschool Association Inc,,75 Evesham Road,CHELTENHAM,VIC,3192,29-12-2011,
PR-00001513,,Ewing Kindergarten Inc,,32A Manning Road Road,MALVERN EAST,VIC,3145,29-12-2011,
PR-00001514,,Farm Road Preschool Inc,,60 Jells Rd,CHELTENHAM,VIC,3192,29-12-2011,
PR-00001515,,Ave Maria Kindergarten Inc,,"Ave Maria Kindergarten, 35 Fawkner St",ABERFELDIE,VIC,3040,29-12-2011,
PR-00001516,,Fawkner Kindergarten Inc,,5 Lee Street,FAWKNER,VIC,3060,29-12-2011,
PR-00001517,,Fawkner Park Children's Centre Co-op Ltd,,65 Toorak Road (West),SOUTH YARRA,VIC,3141,29-12-2011,
PR-00001518,,Ferguson Park Preschool Inc,,PO Box 179,HURSTBRIDGE,VIC,3099,29-12-2011,
PR-00001519,,Firbank Grammar School,,51 Outer Crescent,BRIGHTON,VIC,3186,29-12-2011,
PR-00001520,,John Street Community Early Childhood Co-op Ltd,,23 John Street,FITZROY,VIC,3065,29-12-2011,
PR-00001521,,Flemington Child Care Co-operative Ltd,,53 Wellington St,FLEMINGTON,VIC,3031,29-12-2011,
PR-00001522,,Flinders Preschool Inc,,62 Bass St,FLINDERS,VIC,3929,29-12-2011,
PR-00001523,,Florence Road Preschool Centre Inc,,2 Florence Road,SURREY HILLS,VIC,3127,29-12-2011,
PR-00001524,,Fordham Avenue Kindergarten Association Inc,,24 Fordham Avenue,CAMBERWELL,VIC,3124,29-12-2011,
PR-00001525,,Frankston City Council,,PO Box 490,FRANKSTON,VIC,3199,29-12-2011,
PR-00001527,,Friendship Square Child Care Centre Co-op Ltd,,"35, FriendshipSquare",CHELTENHAM,VIC,3192,29-12-2011,
PR-00001528,,Gannawarra Shire Council,,PO Box 287,KERANG,VIC,3579,29-12-2011,
PR-00001529,,Gardiner Preschool Inc,,PO Box 2,GLEN IRIS,VIC,3146,29-12-2011,
PR-00001530,,Geelong & District Day Nursery Inc,,5 Philpott St,EAST GEELONG,VIC,3219,29-12-2011,
PR-00001531,,Geelong Christian Education Association,,Creamery Road Mail Centre,GEELONG,VIC,3220,29-12-2011,
PR-00001532,,Geelong Grammar School,,139 Noble Street,NEWTOWN,VIC,3220,29-12-2011,
PR-00001533,,BCYF-Bethany Kindergarten Services Limited,Meli Kindergartens,16 Ballarat Road,HAMLYN HEIGHTS,VIC,3215,29-12-2011,
PR-00001534,,Geelong West Kindergarten Inc,,46 O'Connell Street,GEELONG WEST,VIC,3218,29-12-2011,
PR-00001535,,Gembrook Infant Welfare & Preschool Association Inc,,PO Box 96,GEMBROOK,VIC,3783,29-12-2011,
PR-00001536,,Glass Street Kindergarten Association Inc,,16 Glass St,KEW EAST,VIC,3102,29-12-2011,
PR-00001537,,Glen Eira City Council,,PO Box 42,CAULFIELD SOUTH,VIC,3162,29-12-2011,
PR-00001541,,Glenroy Memorial Preschool Inc,,"Unit 3/50, Wheatsheaf Road",GLENROY,VIC,3046,29-12-2011,
PR-00001542,,Glenroy West Kindergarten Inc,,701 Pascoe Vale Rd,GLENROY,VIC,3046,29-12-2011,
PR-00001543,,Golden Square Kindergarten Inc,,45 Panton St,GOLDEN SQUARE,VIC,3555,29-12-2011,
PR-00001544,,Gordon Street Preschool Inc,,17-19 Gordon Street,BEAUMARIS,VIC,3193,29-12-2011,
PR-00001545,,Goulburn Region Preschool Association Inc,,138 Welsford St,SHEPPARTON,VIC,3630,29-12-2011,
PR-00001546,,Gowrie Street Primary School Council,,PO Box 227,SHEPPARTON,VIC,3632,29-12-2011,
PR-00001547,,Grace Park Preschool Inc,,179 Nepean Street,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00001548,,Grange Road Kindergarten Association Inc,,"Grange Road Kindergarten, 66 Grange Rd",SANDRINGHAM,VIC,3191,29-12-2011,
PR-00001549,,Greater Bendigo City Council,,PO Box 733,BENDIGO,VIC,3552,29-12-2011,
PR-00001550,,Greater Dandenong City Council,,PO Box 200,DANDENONG,VIC,3175,29-12-2011,
PR-00001551,,Greater Geelong City Council,,PO Box 104,GEELONG,VIC,3220,29-12-2011,
PR-00001552,,Greater Shepparton City Council,,Locked Bag 1000,SHEPPARTON,VIC,3632,12-04-2012,
PR-00001553,,Greenbrook Kindergarten Inc,,31 Lowalde Drive,EPPING,VIC,3076,29-12-2011,
PR-00001556,,Gumnut Gully Preschool Association Inc,,58-60 Larnoo Drive,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00001557,,Haileybury,Haileybury College,855-891 Springvale Road,KEYSBOROUGH,VIC,3173,29-12-2011,
PR-00001558,,The Hamilton and Alexandra College,,PO Box 286,HAMILTON,VIC,3300,29-12-2011,
PR-00001559,,Hampton Community Kindergarten Inc,,1A Myrtle Road,HAMPTON,VIC,3188,29-12-2011,
PR-00001560,,Hampton Park Care Group Inc,,16-20 Stuart Ave,HAMPTON PARK,VIC,3976,29-12-2011,
PR-00001561,,Happy Kids Child Care Centre Pty Ltd,,187 Gladstone Road,DANDENONG,VIC,3175,29-12-2011,
PR-00001562,,Harrisfield Kindergarten Inc,,62 Bowmore Road,NOBLE PARK,VIC,3174,29-12-2011,
PR-00001563,,Hastings Preschool Kindergarten Inc,,PO Box 239,HASTINGS,VIC,3915,29-12-2011,
PR-00001564,,Heatherdale Preschool Inc,,PO BOX 2022,RANGEVIEW,VIC,3132,29-12-2011,
PR-00001565,,Heathmont East Preschool Inc,,4A Pleasant Drive,HEATHMONT,VIC,3135,29-12-2011,
PR-00001566,,Heathmont Preschool & Kindergarten Inc,,41 Viviani Crescent,HEATHMONT EAST,VIC,3135,29-12-2011,
PR-00001567,,Ivanhoe Children's Community Co-op Ltd,,58 Livingstone Street,IVANHOE,VIC,3079,29-12-2011,
PR-00001568,,Helen Paul Kindergarten Inc,,33 Kingston Street,HAMPTON,VIC,3188,29-12-2011,
PR-00001569,,Kensington Community Children's Co-op Ltd,,81B Altona Street,KENSINGTON,VIC,3031,29-12-2011,
PR-00001570,,Heritage Preschool Association Inc,,2 Bakers Rd,NOBLE PARK NORTH,VIC,3174,29-12-2011,
PR-00001573,,Highvale Preschool Association Inc,,56 Campbell St,GLEN WAVERLEY,VIC,3150,29-12-2011,
PR-00001574,,Hobsons Bay City Council,,PO Box 21,ALTONA,VIC,3018,29-12-2011,
PR-00001575,,Bubup Womindjeka Family & Children’s Centre Association Inc,,85 Liardet Street,PORT MELBOURNE,VIC,3207,29-12-2011,
PR-00001576,,Home Road Kindergarten Inc,,44 Home Road,NEWPORT,VIC,3015,29-12-2011,
PR-00001577,,Hughesdale Kindergarten Inc,,"Hughesdale Kindergarten, 10 Freda St",HUGHESDALE,VIC,3166,29-12-2011,
PR-00001578,,Hume City Council,,PO Box 119,DALLAS,VIC,3047,29-12-2011,
PR-00001579,,Hunt Community Child Care Centre Inc,,103 Cochrane Street,BRIGHTON,VIC,3186,29-12-2011,
PR-00001580,,Hurlingham Preschool Association Inc,,1 Palmer Avenue,BRIGHTON EAST,VIC,3187,29-12-2011,
PR-00001581,,Hurstbridge Preschool Inc,,8 Graysharps Road,HURSTBRIDGE,VIC,3099,29-12-2011,
PR-00001582,,Indigo Shire Council,,PO Box 28,BEECHWORTH,VIC,3747,29-12-2011,
PR-00001583,,Indra Preschool Association Inc,,38 Edinburgh Road,BLACKBURN SOUTH,VIC,3130,29-12-2011,
PR-00001585,,Isabel Henderson Kindergarten Inc,,"259, Rae Street",NORTH FITZROY,VIC,3068,29-12-2011,
